City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
1,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2,Moose Factory,CA,39.2,overcast clouds,51.2585,-80.6094,Moosonee Lilypad
3,Flower Mound,US,87.22,broken clouds,33.0146,-97.097,A Unique Boutique & Spa
4,Butaritari,KI,81.14,broken clouds,3.0707,172.7902,Isles Sunset Lodge
6,Rikitea,PF,77.63,clear sky,-23.1203,-134.9692,People ThankYou
8,Owando,CG,70.65,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
9,Olinda,BR,83.93,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
10,Hobart,AU,52.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
12,Bredasdorp,ZA,58.01,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
13,Narsaq,GL,26.82,broken clouds,60.9167,-46.05,Sleep In Narsaq
14,Perwez,BE,50.23,few clouds,50.6167,4.8167,B&B La chambre d'à Côté
15,Gat,IL,64.4,overcast clouds,31.61,34.7642,OlusHome
16,Mataura,NZ,53.47,broken clouds,-46.1927,168.8643,Ellie's Villa
17,Marovoay,MG,79.3,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
18,Jamestown,US,62.53,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Port Alfred,ZA,60.51,light rain,-33.5906,26.891,The Halyards Hotel
20,Punta Arenas,CL,50.11,few clouds,-53.15,-70.9167,Hotel Hain
21,Busselton,AU,58.44,few clouds,-33.65,115.3333,Observatory Guest House
22,Cape Town,ZA,59.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Lebu,CL,55.67,few clouds,-37.6167,-73.65,Hostal Las Lilas
24,Vitim,RU,6.66,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
25,Constitucion,CL,55.62,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
26,Gold Coast,AU,68.04,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
27,Bafoulabe,ML,96.71,scattered clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
28,Wolfsburg,DE,49.05,overcast clouds,52.4333,10.8,"The Ritz-Carlton, Wolfsburg"
29,Hithadhoo,MV,82.63,broken clouds,-0.6,73.0833,Scoop Guest House
30,Severnyy,RU,51.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
31,Quixada,BR,77.68,broken clouds,-4.9714,-39.0153,Hotel Vale das Pedras
32,Khatanga,RU,17.91,overcast clouds,71.9667,102.5,"""Khatanga"""
33,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
