City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-04-15 23:00:17,42.6001,-73.9662,63.63,26,59,1.01
1,Kapaa,US,2022-04-15 23:00:48,22.0752,-159.319,78.48,70,96,5.01
2,Maragogi,BR,2022-04-15 22:58:26,-9.0122,-35.2225,79.97,81,22,10.6
3,College,US,2022-04-15 23:00:48,64.8569,-147.8028,37.29,34,46,4.0
4,Yellowknife,CA,2022-04-15 23:00:48,62.456,-114.3525,21.56,48,100,8.99
5,Axim,GH,2022-04-15 23:00:49,4.8699,-2.2405,80.01,84,59,7.63
6,Langenlois,AT,2022-04-15 23:00:49,48.4904,15.6521,48.15,69,55,9.01
7,Rikitea,PF,2022-04-15 23:00:49,-23.1203,-134.9692,77.56,72,1,16.49
8,Poum,NC,2022-04-15 23:00:50,-20.2333,164.0167,77.95,72,12,8.12
9,Umm Kaddadah,SD,2022-04-15 23:00:50,13.6017,26.6876,78.94,9,96,12.91
10,Arraial Do Cabo,BR,2022-04-15 23:00:51,-22.9661,-42.0278,73.69,61,0,22.53
11,Ushuaia,AR,2022-04-15 22:58:46,-54.8,-68.3,46.06,81,75,23.02
12,Kutum,SD,2022-04-15 23:00:51,14.2,24.6667,72.81,10,73,6.22
13,Rawson,AR,2022-04-15 23:00:52,-43.3002,-65.1023,70.86,34,9,14.81
14,Puerto Ayora,EC,2022-04-15 23:00:40,-0.7393,-90.3518,77.83,84,91,10.54
15,Puerto Del Rosario,ES,2022-04-15 23:00:52,28.5004,-13.8627,65.95,82,0,21.85
16,Kendari,ID,2022-04-15 23:00:52,-3.945,122.4989,77.34,91,95,2.66
17,Miri,MY,2022-04-15 23:00:53,4.4148,114.0089,75.97,92,66,4.5
18,Punta Arenas,CL,2022-04-15 23:00:53,-53.15,-70.9167,48.11,70,69,17.02
19,Port Alfred,ZA,2022-04-15 23:00:54,-33.5906,26.891,60.4,69,97,7.87
20,Venado Tuerto,AR,2022-04-15 23:00:03,-33.7456,-61.9688,61.77,44,0,8.66
21,Butaritari,KI,2022-04-15 23:00:54,3.0707,172.7902,81.16,74,67,9.19
22,Saint-Philippe,RE,2022-04-15 23:00:54,-21.3585,55.7679,73.22,87,50,14.61
23,Nagarote,NI,2022-04-15 23:00:55,12.2659,-86.5647,95.68,31,71,6.91
24,Dubbo,AU,2022-04-15 23:00:55,-32.25,148.6167,59.13,82,68,6.91
25,Mataura,NZ,2022-04-15 23:00:56,-46.1927,168.8643,55.47,56,64,13.06
26,Burnie,AU,2022-04-15 23:00:56,-41.0667,145.9167,59.7,90,97,10.58
27,Jamestown,US,2022-04-15 22:57:18,42.097,-79.2353,55.02,40,76,5.01
28,Hobart,AU,2022-04-15 23:00:06,-42.8794,147.3294,56.01,72,75,3.44
29,Nelson Bay,AU,2022-04-15 23:00:57,-32.7167,152.15,69.01,88,98,2.1
30,Kristiansund,NO,2022-04-15 23:00:57,63.1115,7.732,41.65,93,40,4.61
31,Tiksi,RU,2022-04-15 23:00:57,71.6872,128.8694,-1.53,100,100,3.76
32,Tuktoyaktuk,CA,2022-04-15 23:00:58,69.4541,-133.0374,1.44,87,88,2.55
33,Port Lincoln,AU,2022-04-15 23:00:58,-34.7333,135.8667,68.22,73,1,7.83
34,Solnechnyy,RU,2022-04-15 23:00:58,50.7214,136.6319,31.28,87,100,6.76
35,Vaini,TO,2022-04-15 23:00:59,-21.2,-175.2,80.49,70,90,15.19
36,Bluff,NZ,2022-04-15 23:00:59,-46.6,168.3333,55.8,63,35,37.07
37,Egvekinot,RU,2022-04-15 23:00:59,66.3167,-179.1667,17.49,85,86,16.17
38,Carnarvon,AU,2022-04-15 23:01:00,-24.8667,113.6333,79.21,56,50,9.37
39,Novikovo,RU,2022-04-15 23:01:00,51.1537,37.8879,48.16,70,97,6.96
