City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,90,0,12.66,clear sky
1,Saint-Philippe,RE,-21.3585,55.7679,74.79,87,49,14.14,light rain
2,Moose Factory,CA,51.2585,-80.6094,39.2,75,100,24.16,overcast clouds
3,Flower Mound,US,33.0146,-97.097,87.22,60,51,8.01,broken clouds
4,Butaritari,KI,3.0707,172.7902,81.14,74,67,8.59,broken clouds
5,Khudumelapye,BW,-23.8833,24.75,66.69,62,81,13.85,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,77.63,71,1,16.78,clear sky
7,Leningradskiy,RU,69.3833,178.4167,12.33,89,100,10.13,overcast clouds
8,Owando,CG,-0.4819,15.8999,70.65,96,53,2.37,broken clouds
9,Olinda,BR,-8.0089,-34.8553,83.93,74,0,8.05,clear sky
10,Hobart,AU,-42.8794,147.3294,52.05,78,75,3.44,broken clouds
11,Praia,CV,14.9215,-23.5087,70.34,73,20,14.97,few clouds
12,Bredasdorp,ZA,-34.5322,20.0403,58.01,62,96,11.56,overcast clouds
13,Narsaq,GL,60.9167,-46.05,26.82,72,68,4.34,broken clouds
14,Perwez,BE,50.6167,4.8167,50.23,90,20,8.05,few clouds
15,Gat,IL,31.61,34.7642,64.4,66,88,3.62,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,53.47,62,79,14.38,broken clouds
17,Marovoay,MG,-16.1,46.6333,79.3,68,1,8.75,clear sky
18,Jamestown,US,42.097,-79.2353,62.53,27,75,21.99,broken clouds
19,Port Alfred,ZA,-33.5906,26.891,60.51,68,96,7.94,light rain
20,Punta Arenas,CL,-53.15,-70.9167,50.11,66,20,26.46,few clouds
21,Busselton,AU,-33.65,115.3333,58.44,92,16,6.44,few clouds
22,Cape Town,ZA,-33.9258,18.4232,59.11,66,0,14.97,clear sky
23,Lebu,CL,-37.6167,-73.65,55.67,83,17,12.88,few clouds
24,Vitim,RU,59.4511,112.5578,6.66,99,85,1.25,overcast clouds
25,Constitucion,CL,-35.3333,-72.4167,55.62,81,1,8.95,clear sky
26,Gold Coast,AU,-28.0,153.4333,68.04,83,40,9.22,scattered clouds
27,Bafoulabe,ML,13.8065,-10.8321,96.71,9,31,5.59,scattered clouds
28,Wolfsburg,DE,52.4333,10.8,49.05,89,100,8.88,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.63,67,73,2.91,broken clouds
30,Severnyy,RU,50.677,36.5532,51.84,71,0,6.71,clear sky
31,Quixada,BR,-4.9714,-39.0153,77.68,81,57,7.02,broken clouds
32,Khatanga,RU,71.9667,102.5,17.91,83,100,13.09,overcast clouds
33,Hilo,US,19.7297,-155.09,82.27,83,100,10.36,light rain
34,Hermanus,ZA,-34.4187,19.2345,53.8,67,67,15.32,broken clouds
35,Geraldton,AU,-28.7667,114.6,59.41,94,0,3.44,clear sky
36,Kapaa,US,22.0752,-159.319,79.12,75,75,17.27,broken clouds
37,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,90,10.4,overcast clouds
38,Faanui,PF,-16.4833,-151.75,82.04,71,7,18.43,light rain
39,Ushuaia,AR,-54.8,-68.3,47.86,71,75,14.97,broken clouds
40,Bluff,NZ,-46.6,168.3333,53.8,63,37,35.75,scattered clouds
41,Hay River,CA,60.8156,-115.7999,21.16,68,75,10.36,broken clouds
42,Rio Grande,BR,-32.035,-52.0986,66.31,61,61,11.74,broken clouds
43,Saint George,US,37.1041,-113.5841,76.42,16,0,9.22,clear sky
44,Dillon,US,34.4166,-79.3712,77.25,36,35,7.56,scattered clouds
45,Aiken,US,33.5835,-81.5998,77.58,21,0,11.5,clear sky
46,Kailua,US,21.4022,-157.7394,82.02,62,40,13.8,scattered clouds
47,Karratha,AU,-20.7377,116.8463,83.14,69,66,3.8,broken clouds
48,Iqaluit,CA,63.7506,-68.5145,8.33,71,20,15.01,few clouds
49,Amboasary,MG,-25.0333,46.3833,74.89,86,98,3.65,overcast clouds
50,Maniitsoq,GL,65.4167,-52.9,24.1,60,98,9.42,overcast clouds
51,Dudinka,RU,69.4058,86.1778,16.84,95,29,12.73,scattered clouds
52,Atuona,PF,-9.8,-139.0333,78.87,78,17,15.61,few clouds
53,San Fernando,PH,15.0286,120.6898,76.73,85,55,3.96,broken clouds
54,Concordia,AR,-31.393,-58.0209,68.07,52,0,5.75,clear sky
55,Yulara,AU,-25.2406,130.9889,71.44,37,43,5.75,scattered clouds
56,Witu,KE,-2.3889,40.4382,80.38,81,99,7.65,overcast clouds
57,Trairi,BR,-3.2778,-39.2689,78.46,82,51,5.1,broken clouds
58,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,75,14.97,light rain
59,Grand-Lahou,CI,5.1367,-5.0242,79.7,86,76,7.54,light rain
60,Acajutla,SV,13.5928,-89.8275,86.86,61,59,9.78,broken clouds
61,East London,ZA,-33.0153,27.9116,62.04,64,100,12.55,overcast clouds
62,Avarua,CK,-21.2078,-159.775,78.85,83,20,3.44,few clouds
63,Albany,US,42.6001,-73.9662,67.17,26,63,11.5,broken clouds
64,Jaru,BR,-10.4389,-62.4664,76.91,90,100,2.64,overcast clouds
65,Imbituba,BR,-28.24,-48.6703,67.82,79,21,11.97,few clouds
66,Yellowknife,CA,62.456,-114.3525,21.72,45,75,4.61,broken clouds
67,Lompoc,US,34.6391,-120.4579,73.69,71,0,27.0,clear sky
68,Guerrero Negro,MX,27.9769,-114.0611,67.14,53,96,17.38,overcast clouds
69,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,62,97,20.74,overcast clouds
70,Vaini,TO,-21.2,-175.2,82.56,74,20,8.05,few clouds
71,Shubarkuduk,KZ,49.1447,56.4872,46.13,70,4,6.4,clear sky
72,Provideniya,RU,64.3833,-173.3,32.85,95,100,28.48,light snow
73,Port Blair,IN,11.6667,92.75,77.04,94,20,2.3,mist
74,Cairns,AU,-16.9167,145.7667,76.06,84,75,12.66,broken clouds
75,Burns Lake,CA,54.2331,-125.7533,38.62,39,100,1.3,overcast clouds
76,Mar Del Plata,AR,-38.0023,-57.5575,63.09,86,0,21.0,clear sky
77,Two Rivers,US,44.1539,-87.5693,45.36,44,20,14.97,few clouds
78,Nanortalik,GL,60.1432,-45.2371,26.94,72,89,6.85,overcast clouds
79,Dikson,RU,73.5069,80.5464,15.87,96,100,8.7,light snow
80,Izberbash,RU,42.5696,47.8645,46.45,73,46,1.99,scattered clouds
81,Namibe,AO,-15.1961,12.1522,71.62,76,70,3.85,broken clouds
82,Raudeberg,NO,61.9875,5.1352,45.86,74,90,12.88,overcast clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,84,40,2.3,scattered clouds
84,Gambo,CF,4.6482,22.2633,70.02,98,98,3.58,light rain
85,Barrow,US,71.2906,-156.7887,2.59,86,6,22.66,clear sky
86,Hofn,IS,64.2539,-15.2082,44.94,93,60,1.68,broken clouds
87,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,89,27,6.78,scattered clouds
88,Ust-Nera,RU,64.5667,143.2,10.49,94,99,4.16,overcast clouds
89,Bourail,NC,-21.5667,165.4833,76.08,75,52,4.59,broken clouds
90,Nemuro,JP,43.3236,145.575,33.85,89,100,20.02,overcast clouds
91,Kaputa,ZM,-8.4689,29.6619,68.25,89,100,3.18,light rain
92,Meulaboh,ID,4.1363,96.1285,76.91,88,78,3.15,broken clouds
93,Grindavik,IS,63.8424,-22.4338,48.15,100,100,35.68,light intensity drizzle
94,Shestakovo,RU,56.4915,103.96,27.41,98,88,2.73,overcast clouds
95,Qaanaaq,GL,77.484,-69.3632,-2.88,94,100,7.07,overcast clouds
96,Dalvik,IS,65.9702,-18.5286,49.93,68,100,9.19,overcast clouds
97,Esperance,AU,-33.8667,121.9,55.24,79,39,10.25,scattered clouds
98,Vila Velha,BR,-20.3297,-40.2925,76.95,74,100,14.97,overcast clouds
99,Codrington,AU,-38.2667,141.9667,58.96,91,44,4.21,scattered clouds
100,Kuzino,RU,57.0224,59.4412,39.67,97,93,10.71,light rain
101,Puerto Escondido,MX,15.85,-97.0667,87.06,57,66,7.72,broken clouds
